Hostname,OS,Username,Domain,BiosVersion,Serial,Processor,Software.DisplayName,Software.DisplayVersion,Software.Publisher,Software.InstallDate
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005,12.0.21005,Microsoft Corporation,20201102
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005,12.0.21005,Microsoft Corporation,20201102
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.28.29325,14.28.29325.2,Microsoft Corporation,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.28.29325,14.28.29325.2,Microsoft Corporation,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2019 X86 Additional Runtime - 14.28.29325,14.28.29325,Microsoft Corporation,20201202
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.28.29325,14.28.29325,Microsoft Corporation,20201202
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual Studio Setup Configuration,2.7.3111.17308,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual Studio Setup WMI Provider,2.7.3111.17308,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Windows Desktop Runtime - 3.1.11 (x86),24.108.29516,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Windows Desktop Runtime - 5.0.2 (x86),40.8.29613,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,MKVToolNix 51.0.0 (64-bit),51.0.0,Moritz Bunkus,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Pack Intellisense cumulatif Microsoft .NET Framework pour Visual Studio (Fran�ais),4.8.03761,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,ProtonVPN,1.17.5,Proton Technologies AG,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,ProtonVPN,1.17.5,Proton Technologies AG,20210111
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,ProtonVPNTap,1.1.0,Proton Technologies AG,20210111
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,PrtScr 1.7,,FireStarter,20201007
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Python 3.8.5 Core Interpreter (32-bit),3.8.5150.0,Python Software Foundation,20200930
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Python 3.8.5 Development Libraries (32-bit),3.8.5150.0,Python Software Foundation,20200930
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Python 3.8.5 Documentation (32-bit),3.8.5150.0,Python Software Foundation,20200930
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Python 3.8.5 Executables (32-bit),3.8.5150.0,Python Software Foundation,20200930
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Python 3.8.5 pip Bootstrap (32-bit),3.8.5150.0,Python Software Foundation,20200930
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Python 3.8.5 Standard Library (32-bit),3.8.5150.0,Python Software Foundation,20200930
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Python 3.8.5 Tcl/Tk Support (32-bit),3.8.5150.0,Python Software Foundation,20200930
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Python 3.8.5 Test Suite (32-bit),3.8.5150.0,Python Software Foundation,20200930
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Python 3.8.5 Utility Scripts (32-bit),3.8.5150.0,Python Software Foundation,20200930
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Python Launcher,3.9.7217.0,Python Software Foundation,20201202
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Qualcomm 11ac Wireless LAN&Bluetooth Installer,11.0.0.10518,Qualcomm,20201102
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Red Dead Redemption 2,1.0.1311.23,Rockstar Games,20201116
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Rockstar Games Launcher,1.0.29.283,Rockstar Games,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Rockstar Games Social Club,2.0.7.0,Rockstar Games,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Steam,2.10.91.91,Valve Corporation,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Teams Machine-Wide Installer,1.3.0.21759,Microsoft Corporation,20200929
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,TypeScript SDK,4.0.3.0,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Update for  (KB2504637),1,Microsoft Corporation,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vcpp_crt.redist.clickonce,14.16.27033,Microsoft Corporation,20201202
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vcpp_crt.redist.clickonce,14.28.29334,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Visual Studio Community�2019,16.8.30907.101,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_clickoncebootstrappermsi,16.8.30530,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_clickoncebootstrappermsires,16.0.28329,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_clickoncesigntoolmsi,16.0.28329,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_communitymsi,16.8.30608,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_communitymsires,16.0.28329,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_devenvmsi,16.0.28329,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_filehandler_amd64,16.8.30530,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_filehandler_x86,16.8.30530,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_FileTracker_Singleton,16.8.30509,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_minshellinteropmsi,16.2.28917,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_minshellmsi,16.8.30530,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_minshellmsires,16.8.30530,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_SQLClickOnceBootstrappermsi,16.8.30615,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_tipsmsi,16.0.28329,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_vswebprotocolselectormsi,16.8.30509,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_vswebprotocolselectormsires,16.8.30509,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Watch_Dogs 2,,Ubisoft,20201029
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Windows Phone SDK 8.0 Assemblies for Visual Studio 2019,16.0.30509,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Windows SDK AddOn,10.1.0.0,Microsoft Corporation,20201202